Country,EEZLV_2014_USD
Albania,4571160.06
Algeria,340866351.6
Angola,1412317548
Antigua Barb,12588036.62
Argentina,1361404607
Australia,1042434942
Bahamas,113869915.8
Bahrain,124263933.6
Bangladesh,846099569.7
Barbados,6374346.95
Belgium,25392259.23
Belize,14830900.12
Benin,97124579.53
Bosnia Herzg,88751.27
Brazil,2584301813
Brunei Darsm,30268624.78
Bulgaria,21388367.55
Cambodia,788275662.2
Cameroon,131061994.1
Canada,2752058314
Cape Verde,69286188.15
Chile,2817687688
China,19568406707
Colombia,95635227.06
Comoros,27356358.53
Congo Dem Rep,49363379.04
Congo Republic,135801793.9
Cook Islands,70123522.12
Costa Rica,44141479.75
Cote d'Ivoire,183677972.6
Croatia,107698307.3
Cuba,62841956.22
Cyprus,7161456.51
Denmark,2395646875
Djibouti,8034726.82
Dominica,4742571.64
Dominican Rp,100395242.3
Ecuador,545224088.5
Egypt,327225925
El Salvador,16207478.34
Equatorial Guinea,87872027.77
Eritrea,16283122.52
Estonia,33767031.66
Fiji,150295576.2
Finland,78533243.51
France,1597492952
Gabon,216501750.4
Gambia,267518509.5
Georgia,111958859
Germany,411564505.8
Ghana,515387243.3
Greece,896458545.3
Grenada,4918560.71
Guatemala,43107647.75
Guinea,1231694734
Guinea-Bissau,1161437967
Guyana,76190991.83
Haiti,43719660.04
Honduras,53310552.58
Hong Kong,15130237.91
Iceland,1516860101
India,4711077117
Indonesia,12531021031
Iran,763119548.1
Iraq,10721829.17
Ireland,1113417665
Israel,9154541.13
Italy,1504137060
Jamaica,47829179.91
Japan,10880713525
Jordan,1191605.7
Kenya,45418999.03
Kiribati,889711547.3
Korea D P Rp,180586215.2
Korea Rep,6192715870
Kuwait,72486131.59
Latvia,36412235.41
Lebanon,10342421.1
Liberia,131837284
Libya,147973241.2
Lithuania,14229611.97
Madagascar,242697832
Malaysia,4975145647
Maldives,137217526.4
Malta,12620441.31
Marshall Is,230688440.4
Mauritania,1356626682
Mauritius,44293107.95
Mexico,3434491449
Micronesia,206295162
Montenegro,3167118.11
Morocco,4322587305
Mozambique,255265226
Myanmar,2283666466
Namibia,733044977.2
Nauru,211070776.1
Netherlands,378865585.4
New Zealand,1353642792
Nicaragua,107481998.7
Nigeria,1124991761
Norway,5091709223
Oman,557623103.4
Pakistan,954833609.3
Palau,237056578.1
Panama,115497611.2
Papua New Guinea,573762506.3
Peru,3780766559
Philippines,2545059642
Poland,101771829.6
Portugal,537248648.4
Qatar,214118306.4
Romania,6739417.06
Russian Federation,6054823792
Samoa,61396623.04
Sao Tome Prn,26412729.8
Saudi Arabia,347056902.1
Senegal,924183935.1
Seychelles,14706734.78
Sierra Leone,294865457.7
Singapore,8063098.82
Slovenia,1610890.16
Solomon Is,182327458.9
Somalia,384218653.2
South Africa,716670638.7
Spain,1742976454
Sri Lanka,945133221.3
St Kitts Nev,6597922.9
St Lucia,3834282.47
St Vincent,4889361.2
Sudan,6254095.04
Suriname,107847064.6
Sweden,242602727.2
Syria,10517050.7
Taiwan,590248951.8
Tanzania,266837241.6
Thailand,2787208391
Timor Leste,12666979.57
Togo,60134647.96
Tonga,20102287.71
Trinidad Tob,49679017.06
Tunisia,218883306
Turkey,795393430.4
Tuvalu,85094540.6
Ukraine,47004361.54
United Kingdom,4859610619
Untd Arab Em,308618250.9
Uruguay,138873823.8
USA,10288251175
Vanuatu,13373249.31
Venezuela,248011741.6
Viet Nam,3278247260
Yemen,661593380.6
